SOORT HO,PROVINCIE,BEVOEGD GEZAG NUMMER,INSTELLINGSCODE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,STRAATNAAM CORRESPONDENTIEADRES,HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES,POSTCODE CORRESPONDENTIEADRES,PLAATSNAAM CORRESPONDENTIEADRES,NODAAL GEBIED CODE,NODAAL GEBIED NAAM,RPA-GEBIED CODE,RPA-GEBIED NAAM,WGR-GEBIED CODE,WGR-GEBIED NAAM,COROPGEBIED CODE,COROPGEBIED NAAM,ONDERWIJSGEBIED CODE,ONDERWIJSGEBIED NAAM,RMC-REGIO CODE,RMC-REGIO NAAM
hbo,Utrecht,72230,10IZ,Marnix Academie,Vogelsanglaan,1,3571 ZM,UTRECHT,344,UTRECHT,Protestants-Christelijk,302753400,www.marnixacademie.nl,Postbus,85002,3508 AA,UTRECHT,36,Utrecht,18,Utrecht-Midden,19,Utrecht,17,Utrecht,13,Utrecht en omstreken,19,Utrecht
hbo,Zeeland,30246,21MI,HZ University of Applied Sciences,Edisonweg,4,4382 NW,VLISSINGEN,718,VLISSINGEN,Algemeen bijzonder,118489000,www.hz.nl,Postbus,364,4380 AJ,VLISSINGEN,59,Middelburg,24,Zeeland,32,Walcheren,32,Overig Zeeland,19,Zeeland,32,Walcheren
hbo,Zuid-Holland,24832,14NI,Codarts,,,,,,,,,,,,,,,,,,,,,,,,,
hbo,Zuid-Holland,30163,21RI,Hogeschool Leiden,Zernikedreef,11,2333 CK,LEIDEN,546,LEIDEN,Samenwerking PC,,,,,,,,,,,,,,,,,,
hbo,Zuid-Holland,30299,22OJ,Hogeschool Rotterdam,Museumpark,40,3015 CX,ROTTERDAM,599,ROTTERDAM,Algemeen bijzonder,107940000,www.hogeschoolrotterdam.nl,Postbus,25035,3001 HA,ROTTERDAM,54,Rotterdam,23,Rijnmond,29,Rijnmond,29,Groot-Rijnmond,17,Rijnmond groot,29,Rijnmond
hbo,Zuid-Holland,30923,23KJ,Hogeschool der Kunsten Den Haag,Spuiplein,150,2511 DG,'S-GRAVENHAGE,518,S GRAVENHAGE,Algemeen bijzonder,703154777,www.koncon.nl,Postbus,11670,2502 AR,'S-GRAVENHAGE,49,'s-Gravenhage,22,Haaglanden,28,Haaglanden,26,Agglomeratie 's-Gravenhage,16,Noord-Zuid-Holland,28,Haaglanden/Westland
hbo,Zuid-Holland,40781,15BK,Driestar educatief,Burgemeester Jamessingel,2,2803 PD,GOUDA,513,GOUDA,Reformatorisch,182540333,www.driestar-educatief.nl,Postbus,368,2800 AJ,GOUDA,51,Gouda,21,Rijn-Gouwe,27,Zuid-Holland-Oost,28,Oost-Zuid-Holland,16,Noord-Zuid-Holland,27,Zuid-Holland-Oost
hbo,Zuid-Holland,41350,27PZ,Hogeschool Inholland,Posthumalaan,90,3072 AG,ROTTERDAM,599,ROTTERDAM,Algemeen bijzonder,884664103,www.inholland.nl,Postbus,95597,2509 CN,'S-GRAVENHAGE,54,Rotterdam,23,Rijnmond,29,Rijnmond,29,Groot-Rijnmond,17,Rijnmond groot,29,Rijnmond
hbo,Zuid-Holland,41378,27UM,De Haagse Hogeschool,Johanna Westerdijkplein,75,2521 EN,'S-GRAVENHAGE,518,S GRAVENHAGE,Algemeen bijzonder,704458888,www.dehaagsehogeschool.nl,Postbus,13336,2501 EH,'S-GRAVENHAGE,49,'s-Gravenhage,22,Haaglanden,28,Haaglanden,26,Agglomeratie 's-Gravenhage,16,Noord-Zuid-Holland,28,Haaglanden/Westland
hbo,Zuid-Holland,42664,30VP,Hogeschool Thomas More,Stationssingel,80,3033 HJ,ROTTERDAM,599,ROTTERDAM,Overige,104657066, ,Stationssingel,80,3033 HJ,ROTTERDAM,54,Rotterdam,23,Rijnmond,29,Rijnmond,29,Groot-Rijnmond,17,Rijnmond groot,29,Rijnmond
